Filename	Algorithm	m	n	executionTime	memory	isSat	mixCount	extractCount	appendCount	splitCount	spliceCount	purifyCount
SWEEP_R10_K3_N10_M100_S000-d.out	2	100	10	0.251076	0	0	200	300	150	150	0	50
SWEEP_R10_K3_N10_M100_S000-l.out	0	100	10	0.149031	0	0	212	150	20	10	0	51
SWEEP_R10_K3_N10_M100_S000-o.out	1	100	10	0.003729	0	0	47	123	12	6	0	47
SWEEP_R10_K3_N10_M100_S001-d.out	2	100	10	0.217771	0	0	224	336	168	168	0	56
SWEEP_R10_K3_N10_M100_S001-l.out	0	100	10	0.131803	0	0	236	168	20	10	0	57
SWEEP_R10_K3_N10_M100_S001-o.out	1	100	10	0.003046	0	0	30	75	10	5	0	30
SWEEP_R10_K3_N10_M100_S002-d.out	2	100	10	0.113133	0	0	196	294	147	147	0	49
SWEEP_R10_K3_N10_M100_S002-l.out	0	100	10	0.132448	0	0	208	147	20	10	0	50
SWEEP_R10_K3_N10_M100_S002-o.out	1	100	10	0.004326	0	0	84	231	14	7	0	84
SWEEP_R10_K3_N10_M100_S003-d.out	2	100	10	0.126607	0	0	192	288	144	144	0	48
SWEEP_R10_K3_N10_M100_S003-l.out	0	100	10	0.140518	0	0	204	144	20	10	0	49
SWEEP_R10_K3_N10_M100_S003-o.out	1	100	10	0.003715	0	0	71	192	14	7	0	71
SWEEP_R10_K3_N10_M100_S004-d.out	2	100	10	0.283255	0	0	240	360	180	180	0	60
SWEEP_R10_K3_N10_M100_S004-l.out	0	100	10	0.164251	0	0	252	180	20	10	0	61
SWEEP_R10_K3_N10_M100_S004-o.out	1	100	10	0.004005	0	0	50	132	12	6	0	50
SWEEP_R10_K3_N10_M100_S005-d.out	2	100	10	0.291990	0	0	156	234	117	117	0	39
SWEEP_R10_K3_N10_M100_S005-l.out	0	100	10	0.142999	0	0	168	117	20	10	0	40
SWEEP_R10_K3_N10_M100_S005-o.out	1	100	10	0.003379	0	0	108	300	16	8	0	108
SWEEP_R10_K3_N10_M100_S006-d.out	2	100	10	0.250703	0	0	180	270	135	135	0	45
SWEEP_R10_K3_N10_M100_S006-l.out	0	100	10	0.146506	0	0	192	135	20	10	0	46
SWEEP_R10_K3_N10_M100_S006-o.out	1	100	10	0.003843	0	0	52	138	12	6	0	52
SWEEP_R10_K3_N10_M100_S007-d.out	2	100	10	0.161946	0	0	160	240	120	120	0	40
SWEEP_R10_K3_N10_M100_S007-l.out	0	100	10	0.125029	0	0	172	120	20	10	0	41
SWEEP_R10_K3_N10_M100_S007-o.out	1	100	10	0.003256	0	0	51	135	12	6	0	51
SWEEP_R10_K3_N10_M100_S008-d.out	2	100	10	0.365244	0	0	184	276	138	138	0	46
SWEEP_R10_K3_N10_M100_S008-l.out	0	100	10	0.154690	0	0	196	138	20	10	0	47
SWEEP_R10_K3_N10_M100_S008-o.out	1	100	10	0.002198	0	0	51	135	12	6	0	51
