Filename	Algorithm	m	n	executionTime	memory	isSat	mixCount	extractCount	appendCount	splitCount	spliceCount	purifyCount
SWEEP_R10_K3_N20_M184_S000-d.out	2	184	20	81.523087	0	0	424	636	318	318	0	106
SWEEP_R10_K3_N20_M184_S000-l.out	0	184	20	149.035202	0	0	446	318	40	20	0	107
SWEEP_R10_K3_N20_M184_S000-o.out	1	184	20	0.028865	0	0	94	243	26	13	0	94
SWEEP_R10_K3_N20_M184_S001-d.out	2	184	20	229.558990	0	0	440	660	330	330	0	110
SWEEP_R10_K3_N20_M184_S001-l.out	0	184	20	161.260544	0	0	462	330	40	20	0	111
SWEEP_R10_K3_N20_M184_S001-o.out	1	184	20	0.016772	0	0	89	228	26	13	0	89
SWEEP_R10_K3_N20_M184_S002-d.out	2	184	20	251.433975	0	0	416	624	312	312	0	104
SWEEP_R10_K3_N20_M184_S002-l.out	0	184	20	166.737900	0	0	438	312	40	20	0	105
SWEEP_R10_K3_N20_M184_S002-o.out	1	184	20	0.037649	0	0	80	204	24	12	0	80
SWEEP_R10_K3_N20_M184_S003-d.out	2	184	20	144.982208	0	0	376	564	282	282	0	94
SWEEP_R10_K3_N20_M184_S003-l.out	0	184	20	171.216263	0	0	398	282	40	20	0	95
SWEEP_R10_K3_N20_M184_S003-o.out	1	184	20	0.072612	0	0	78	195	26	13	0	78
SWEEP_R10_K3_N20_M184_S004-d.out	2	184	20	97.013687	0	0	336	504	252	252	0	84
SWEEP_R10_K3_N20_M184_S004-l.out	0	184	20	160.532761	0	0	358	252	40	20	0	85
SWEEP_R10_K3_N20_M184_S004-o.out	1	184	20	0.033924	0	0	88	225	26	13	0	88
SWEEP_R10_K3_N20_M184_S005-d.out	2	184	20	413.691010	0	0	420	630	315	315	0	105
SWEEP_R10_K3_N20_M184_S005-l.out	0	184	20	167.407455	0	0	442	315	40	20	0	106
SWEEP_R10_K3_N20_M184_S005-o.out	1	184	20	0.026148	0	0	123	324	30	15	0	123
SWEEP_R10_K3_N20_M184_S006-d.out	2	184	20	99.180847	0	0	412	618	309	309	0	103
SWEEP_R10_K3_N20_M184_S006-l.out	0	184	20	151.489822	0	0	434	309	40	20	0	104
SWEEP_R10_K3_N20_M184_S006-o.out	1	184	20	0.023968	0	0	111	291	28	14	0	111
SWEEP_R10_K3_N20_M184_S007-d.out	2	184	20	153.376572	0	0	320	480	240	240	0	80
SWEEP_R10_K3_N20_M184_S007-l.out	0	184	20	147.364960	0	0	342	240	40	20	0	81
SWEEP_R10_K3_N20_M184_S007-o.out	1	184	20	0.020197	0	0	83	213	24	12	0	83
SWEEP_R10_K3_N20_M184_S008-d.out	2	184	20	127.897171	0	0	472	708	354	354	0	118
SWEEP_R10_K3_N20_M184_S008-l.out	0	184	20	160.415573	0	0	494	354	40	20	0	119
SWEEP_R10_K3_N20_M184_S008-o.out	1	184	20	0.023858	0	0	98	252	28	14	0	98
SWEEP_R10_K3_N20_M184_S009-d.out	2	184	20	375.197906	0	0	408	612	306	306	0	102
SWEEP_R10_K3_N20_M184_S009-l.out	0	184	20	181.377579	0	0	430	306	40	20	0	103
SWEEP_R10_K3_N20_M184_S009-o.out	1	184	20	0.017671	0	0	112	294	28	14	0	112
SWEEP_R10_K3_N20_M184_S010-d.out	2	184	20	176.645889	0	0	352	528	264	264	0	88
SWEEP_R10_K3_N20_M184_S010-l.out	0	184	20	156.925095	0	0	374	264	40	20	0	89
SWEEP_R10_K3_N20_M184_S010-o.out	1	184	20	0.038563	0	0	123	324	30	15	0	123
SWEEP_R10_K3_N20_M184_S011-d.out	2	184	20	89.213875	0	0	356	534	267	267	0	89
SWEEP_R10_K3_N20_M184_S011-l.out	0	184	20	180.871689	0	0	378	267	40	20	0	90
SWEEP_R10_K3_N20_M184_S011-o.out	1	184	20	0.018725	0	0	87	225	24	12	0	87
SWEEP_R10_K3_N20_M184_S012-d.out	2	184	20	217.776611	0	0	456	684	342	342	0	114
SWEEP_R10_K3_N20_M184_S012-l.out	0	184	20	151.781296	0	0	478	342	40	20	0	115
SWEEP_R10_K3_N20_M184_S012-o.out	1	184	20	0.024334	0	0	86	219	26	13	0	86
SWEEP_R10_K3_N20_M184_S013-d.out	2	184	20	163.766342	0	0	340	510	255	255	0	85
SWEEP_R10_K3_N20_M184_S013-l.out	0	184	20	149.337540	0	0	362	255	40	20	0	86
SWEEP_R10_K3_N20_M184_S013-o.out	1	184	20	0.013148	0	0	86	219	26	13	0	86
SWEEP_R10_K3_N20_M184_S014-d.out	2	184	20	161.676620	0	0	348	522	261	261	0	87
SWEEP_R10_K3_N20_M184_S014-l.out	0	184	20	148.586624	0	0	370	261	40	20	0	88
SWEEP_R10_K3_N20_M184_S014-o.out	1	184	20	0.021544	0	0	96	249	26	13	0	96
SWEEP_R10_K3_N20_M184_S015-d.out	2	184	20	225.296860	0	0	324	486	243	243	0	81
SWEEP_R10_K3_N20_M184_S015-l.out	0	184	20	160.556259	0	0	346	243	40	20	0	82
SWEEP_R10_K3_N20_M184_S015-o.out	1	184	20	0.012020	0	0	79	201	24	12	0	79
SWEEP_R10_K3_N20_M184_S016-d.out	2	184	20	301.341187	0	0	380	570	285	285	0	95
SWEEP_R10_K3_N20_M184_S016-l.out	0	184	20	181.995743	0	0	402	285	40	20	0	96
SWEEP_R10_K3_N20_M184_S016-o.out	1	184	20	0.022903	0	0	73	183	24	12	0	73
SWEEP_R10_K3_N20_M184_S017-d.out	2	184	20	184.971405	0	0	488	732	366	366	0	122
SWEEP_R10_K3_N20_M184_S017-l.out	0	184	20	171.399216	0	0	510	366	40	20	0	123
SWEEP_R10_K3_N20_M184_S017-o.out	1	184	20	0.031261	0	0	98	255	26	13	0	98
SWEEP_R10_K3_N20_M184_S018-d.out	2	184	20	60.187756	0	0	328	492	246	246	0	82
SWEEP_R10_K3_N20_M184_S018-l.out	0	184	20	160.764221	0	0	350	246	40	20	0	83
SWEEP_R10_K3_N20_M184_S018-o.out	1	184	20	0.047283	0	0	86	219	26	13	0	86
SWEEP_R10_K3_N20_M184_S019-d.out	2	184	20	170.289230	0	0	344	516	258	258	0	86
SWEEP_R10_K3_N20_M184_S019-l.out	0	184	20	165.496033	0	0	366	258	40	20	0	87
SWEEP_R10_K3_N20_M184_S019-o.out	1	184	20	0.028235	0	0	99	258	26	13	0	99
SWEEP_R10_K3_N20_M184_S020-d.out	2	184	20	419.223297	0	0	436	654	327	327	0	109
SWEEP_R10_K3_N20_M184_S020-l.out	0	184	20	159.041534	0	0	458	327	40	20	0	110
SWEEP_R10_K3_N20_M184_S020-o.out	1	184	20	0.047086	0	0	107	279	28	14	0	107
SWEEP_R10_K3_N20_M184_S021-d.out	2	184	20	228.881699	0	0	416	624	312	312	0	104
SWEEP_R10_K3_N20_M184_S021-l.out	0	184	20	167.084625	0	0	438	312	40	20	0	105
SWEEP_R10_K3_N20_M184_S021-o.out	1	184	20	0.039752	0	0	148	396	32	16	0	148
SWEEP_R10_K3_N20_M184_S022-d.out	2	184	20	156.003891	0	0	396	594	297	297	0	99
SWEEP_R10_K3_N20_M184_S022-l.out	0	184	20	163.388260	0	0	418	297	40	20	0	100
SWEEP_R10_K3_N20_M184_S022-o.out	1	184	20	0.033552	0	0	100	258	28	14	0	100
SWEEP_R10_K3_N20_M184_S023-d.out	2	184	20	106.617035	0	0	424	636	318	318	0	106
SWEEP_R10_K3_N20_M184_S023-l.out	0	184	20	163.116623	0	0	446	318	40	20	0	107
SWEEP_R10_K3_N20_M184_S023-o.out	1	184	20	0.031618	0	0	74	186	24	12	0	74
SWEEP_R10_K3_N20_M184_S024-d.out	2	184	20	307.341705	0	0	444	666	333	333	0	111
SWEEP_R10_K3_N20_M184_S024-l.out	0	184	20	161.208115	0	0	466	333	40	20	0	112
SWEEP_R10_K3_N20_M184_S024-o.out	1	184	20	0.017719	0	0	75	189	24	12	0	75
SWEEP_R10_K3_N20_M184_S025-d.out	2	184	20	110.665520	0	0	328	492	246	246	0	82
SWEEP_R10_K3_N20_M184_S025-l.out	0	184	20	146.715347	0	0	350	246	40	20	0	83
SWEEP_R10_K3_N20_M184_S025-o.out	1	184	20	0.013174	0	0	62	153	22	11	0	62
SWEEP_R10_K3_N20_M184_S026-d.out	2	184	20	116.601341	0	0	364	546	273	273	0	91
SWEEP_R10_K3_N20_M184_S026-l.out	0	184	20	170.608505	0	0	386	273	40	20	0	92
SWEEP_R10_K3_N20_M184_S026-o.out	1	184	20	0.018592	0	0	92	237	26	13	0	92
SWEEP_R10_K3_N20_M184_S027-d.out	2	184	20	86.378242	0	0	348	522	261	261	0	87
SWEEP_R10_K3_N20_M184_S027-l.out	0	184	20	158.535339	0	0	370	261	40	20	0	88
SWEEP_R10_K3_N20_M184_S027-o.out	1	184	20	0.030133	0	0	102	264	28	14	0	102
SWEEP_R10_K3_N20_M184_S028-d.out	2	184	20	178.898209	0	0	368	552	276	276	0	92
SWEEP_R10_K3_N20_M184_S028-l.out	0	184	20	164.709885	0	0	390	276	40	20	0	93
SWEEP_R10_K3_N20_M184_S028-o.out	1	184	20	0.047982	0	0	120	315	30	15	0	120
SWEEP_R10_K3_N20_M184_S029-d.out	2	184	20	233.950439	0	0	368	552	276	276	0	92
SWEEP_R10_K3_N20_M184_S029-l.out	0	184	20	160.593277	0	0	390	276	40	20	0	93
SWEEP_R10_K3_N20_M184_S029-o.out	1	184	20	0.035128	0	0	74	186	24	12	0	74
SWEEP_R10_K3_N20_M192_S000-d.out	2	192	20	81.576553	0	0	424	636	318	318	0	106
SWEEP_R10_K3_N20_M192_S000-l.out	0	192	20	148.688583	0	0	446	318	40	20	0	107
SWEEP_R10_K3_N20_M192_S000-o.out	1	192	20	0.027703	0	0	79	201	24	12	0	79
SWEEP_R10_K3_N20_M192_S001-d.out	2	192	20	229.271851	0	0	440	660	330	330	0	110
SWEEP_R10_K3_N20_M192_S001-l.out	0	192	20	161.639420	0	0	462	330	40	20	0	111
SWEEP_R10_K3_N20_M192_S001-o.out	1	192	20	0.013862	0	0	73	183	24	12	0	73
SWEEP_R10_K3_N20_M192_S002-d.out	2	192	20	251.723969	0	0	416	624	312	312	0	104
