Filename	Algorithm	m	n	executionTime	memory	isSat	mixCount	extractCount	appendCount	splitCount	spliceCount	purifyCount
SWEEP_R10_K3_N20_M184_S000-d.out	2	184	20	87	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S000-l.out	0	184	20	156	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S000-o.out	1	184	20	0.027765	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S001-d.out	2	184	20	249	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S001-l.out	0	184	20	170	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S001-o.out	1	184	20	0.017443	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S002-d.out	2	184	20	275	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S002-l.out	0	184	20	174	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S002-o.out	1	184	20	0.038398	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S003-d.out	2	184	20	154	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S003-l.out	0	184	20	179	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S003-o.out	1	184	20	0.073482	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S004-d.out	2	184	20	100	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S004-l.out	0	184	20	164	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S004-o.out	1	184	20	0.034640	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S005-d.out	2	184	20	424	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S005-l.out	0	184	20	171	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S005-o.out	1	184	20	0.026614	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S006-d.out	2	184	20	101	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S006-l.out	0	184	20	155	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S006-o.out	1	184	20	0.024414	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S007-d.out	2	184	20	157	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S007-l.out	0	184	20	151	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S007-o.out	1	184	20	0.020698	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S008-d.out	2	184	20	131	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S008-l.out	0	184	20	165	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S008-o.out	1	184	20	0.026128	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S009-d.out	2	184	20	384	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S009-l.out	0	184	20	187	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S009-o.out	1	184	20	0.019971	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S010-d.out	2	184	20	180	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S010-l.out	0	184	20	164	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S010-o.out	1	184	20	0.038730	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S011-d.out	2	184	20	91	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S011-l.out	0	184	20	186	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S011-o.out	1	184	20	0.019708	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S012-d.out	2	184	20	223	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S012-l.out	0	184	20	154	0	0	758	552	40	20	0	185
SWEEP_R10_K3_N20_M184_S012-o.out	1	184	20	0.024827	0	0	202	552	36	18	0	202
SWEEP_R10_K3_N20_M184_S013-d.out	2	184	20	167	0	0	736	1104	552	552	0	184
SWEEP_R10_K3_N20_M184_S013-l.out	0	184	20	154	0	0	758	552	40	20	0	185
